Wavelength	09/27/123 at 12:26:22
350	 4.30454344577749E-02 
351	 4.28093492884668E-02 
352	 4.30169782268057E-02 
353	 4.33488349221838E-02 
354	 4.32203270787256E-02 
355	 4.33999892334087E-02 
356	 4.35073305686612E-02 
357	 4.33678839357121E-02 
358	 4.34580192026747E-02 
359	 4.37533532885194E-02 
360	 4.39481780412199E-02 
361	 0.043694457749776 
362	 4.36627390568842E-02 
363	 4.38452609475652E-02 
364	 4.40874125582197E-02 
365	 4.41157698236768E-02 
366	 4.40275544223419E-02 
367	 4.39175236483022E-02 
368	 4.39061388408843E-02 
369	 4.42822498169141E-02 
370	 4.45018234889643E-02 
371	 0.044326253708499 
372	 0.044402886723865 
373	 4.44771110131904E-02 
374	 4.45262206818599E-02 
375	 4.46135164934724E-02 
376	 4.46508986309499E-02 
377	 4.47887144263885E-02 
378	 4.50713745895519E-02 
379	 4.52604853380519E-02 
380	 4.52196690926972E-02 
381	 4.51237153265596E-02 
382	 4.52842927733762E-02 
383	 0.045499063714266 
384	 4.57187718550164E-02 
385	 4.58282728311552E-02 
386	 4.54734436939248E-02 
387	 4.54598872421777E-02 
388	 4.56814098176957E-02 
389	 4.56786114836054E-02 
390	 4.58431501181998E-02 
391	 4.60646968201232E-02 
392	 4.62429807269751E-02 
393	 4.63953183342774E-02 
394	 4.64939426678164E-02 
395	 4.65299594334042E-02 
396	 4.65218266375179E-02 
397	 4.66064644044269E-02 
398	 4.67420303770601E-02 
399	 4.68639930386838E-02 
400	 0.046895363732178 
401	 4.69477687333922E-02 
402	 4.69856833319363E-02 
403	 4.69440998090529E-02 
404	 4.69538136333217E-02 
405	 4.70201019387298E-02 
406	 4.71021029928412E-02 
407	 4.70890369254949E-02 
408	 4.71246562024274E-02 
409	 4.72071712528071E-02 
410	 4.72750952099197E-02 
411	 4.72580855406435E-02 
412	 4.72600578870393E-02 
413	 4.73284261191928E-02 
414	 4.73854273539115E-02 
415	 4.75459939773428E-02 
416	 0.047697334334112 
417	 4.76725877984557E-02 
418	 4.75651968646759E-02 
419	 4.74860019824942E-02 
420	 4.74982205496342E-02 
421	 4.76086568591204E-02 
422	 4.76451105835207E-02 
423	 4.76417182105881E-02 
424	 4.77014781120166E-02 
425	 4.78128755025727E-02 
426	 0.047899589785789 
427	 0.047941070934092 
428	 4.80103007468744E-02 
429	 4.80663070149993E-02 
430	 4.80681152375327E-02 
431	 4.80065048069977E-02 
432	 4.80358803228006E-02 
433	 4.80992324813462E-02 
434	 4.81398483609589E-02 
435	 4.81169254517137E-02 
436	 4.81807589308472E-02 
437	 4.82782753667327E-02 
438	 4.83165733588179E-02 
439	 4.83640261636775E-02 
440	 4.84197390231277E-02 
441	 4.84587939283411E-02 
442	 4.84266017100514E-02 
443	 0.048436379512933 
444	 4.84817141234701E-02 
445	 4.85233626212297E-02 
446	 4.85483872397935E-02 
447	 0.048599363506281 
448	 4.86897403923626E-02 
449	 4.87993219876439E-02 
