Wavelength	09/27/123 at 12:15:03
350	 0.010488444516114 
351	 1.02335789681293E-02 
352	 1.03533933910388E-02 
353	 1.04812792084844E-02 
354	 1.00571361742645E-02 
355	 1.02747565960916E-02 
356	 1.04923679199699E-02 
357	 1.03768320493557E-02 
358	 1.06684404592896E-02 
359	 0.010626878529731 
360	 1.03480855648864E-02 
361	 1.02811550258764E-02 
362	 1.04249240764422E-02 
363	 1.06492221896851E-02 
364	 1.08064682803039E-02 
365	 0.010724370971143 
366	 1.06266903722676E-02 
367	 1.05617124298926E-02 
368	 1.05206770904208E-02 
369	 1.07776824825579E-02 
370	 1.09541024494092E-02 
371	 1.08708858983386E-02 
372	 1.09566305338042E-02 
373	 0.011038834367179 
374	 0.011131108761946 
375	 1.13100953010689E-02 
376	 1.14129635850145E-02 
377	 1.15253138798543E-02 
378	 1.16704416841048E-02 
379	 1.16433662115222E-02 
380	 0.011626401642667 
381	 0.01174947872705 
382	 1.20846821371842E-02 
383	 1.23506950063083E-02 
384	 1.24976146255159E-02 
385	 1.25308598423028E-02 
386	 1.24629060132562E-02 
387	 1.26001303722576E-02 
388	 1.29046007829858E-02 
389	 1.31867883109254E-02 
390	 1.35170477645028E-02 
391	 1.38157565035833E-02 
392	 1.40328845183249E-02 
393	 1.41864713791665E-02 
394	 1.43434325224273E-02 
395	 1.45346052017654E-02 
396	 1.47710238159812E-02 
397	 1.50479945157285E-02 
398	 1.54232778788664E-02 
399	 1.58544145266173E-02 
400	 1.61264013155335E-02 
401	 1.63891518955412E-02 
402	 1.66576459613583E-02 
403	 1.69058515089467E-02 
404	 1.71385111273729E-02 
405	 1.73971659812963E-02 
406	 1.77025654389245E-02 
407	 1.80326316707224E-02 
408	 1.84327404029496E-02 
409	 1.89045682212929E-02 
410	 1.94154712395199E-02 
411	 1.98383960863131E-02 
412	 0.020195354470048 
413	 2.05317514817288E-02 
414	 2.09016369108071E-02 
415	 2.13216509834609E-02 
416	 2.17182865634949E-02 
417	 2.19965719343791E-02 
418	 0.022182778767989 
419	 2.24052814812563E-02 
420	 0.022731303818185 
421	 2.31376186160086E-02 
422	 2.34578041641433E-02 
423	 2.37181050075148E-02 
424	 2.40101038624038E-02 
425	 2.43194268443169E-02 
426	 2.45811761641398E-02 
427	 2.47921631457636E-02 
428	 2.50533043003541E-02 
429	 2.52828394660288E-02 
430	 2.54674077884038E-02 
431	 2.56284554195901E-02 
432	 2.58455440959485E-02 
433	 2.60613321880733E-02 
434	 2.62350163875181E-02 
435	 2.63521311303012E-02 
436	 2.65854079094424E-02 
437	 2.68325865885626E-02 
438	 2.69534943007807E-02 
439	 2.71063790241992E-02 
440	 2.72911391913669E-02 
441	 2.74759383054596E-02 
442	 2.75966213962197E-02 
443	 2.77976893916298E-02 
444	 2.80345660975006E-02 
445	 2.82287499813304E-02 
446	 2.84300259385872E-02 
447	 2.86659361610606E-02 
448	 2.89338995485007E-02 
449	 2.92007502998382E-02 
450	 2.94360685873179E-02 
451	 2.96302994480446E-02 
452	 2.97870714625804E-02 
453	 2.99285438109035E-02 
454	 0.030069710587263 
455	 3.02186547668577E-02 
456	 3.03767184202662E-02 
457	 3.05333010013687E-02 
458	 3.06950180631085E-02 
459	 3.08582445799683E-02 
460	 3.09494526722384E-02 
461	 3.10349723768964E-02 
462	 3.11393500507875E-02 
463	 3.12353515992122E-02 
464	 3.12977917223418E-02 
465	 3.13752803639606E-02 
466	 3.15001156014759E-02 
467	 3.15654361814525E-02 
468	 3.16141794723373E-02 
469	 3.16882867932494E-02 
470	 3.18225771599598E-02 
471	 3.19414855534657E-02 
472	 0.032050363731369 
473	 0.032162653077711 
474	 3.22533051910507E-02 
475	 3.23636923147726E-02 
476	 3.24667795774267E-02 
477	 3.24913333705614E-02 
478	 3.26150096991278E-02 
479	 3.27800205085053E-02 
480	 3.29119073739011E-02 
481	 0.033025180649339 
482	 3.31293334004055E-02 
483	 3.32517186274525E-02 
484	 3.34243040379293E-02 
485	 3.35429284677267E-02 
486	 3.37067361202227E-02 
487	 3.39679738571118E-02 
488	 3.41671559277032E-02 
489	 3.43832369471499E-02 
490	 3.46166070626031E-02 
491	 3.48336546944639E-02 
492	 3.50768746099148E-02 
493	 3.53763606681381E-02 
494	 3.57374956501432E-02 
495	 3.61221046182374E-02 
496	 3.64968174352154E-02 
497	 3.68975875554133E-02 
498	 3.73922357617374E-02 
499	 3.79999425580134E-02 
500	 3.86111404649357E-02 
501	 3.92014757781615E-02 
502	 3.99333439506119E-02 
503	 4.06803801317148E-02 
504	 4.14467306781498E-02 
505	 4.22936779028592E-02 
506	 4.33043334421935E-02 
507	 4.43396688157614E-02 
508	 4.53619173367098E-02 
509	 4.65019868918429E-02 
510	 0.047709030602764 
511	 4.90337219922194E-02 
512	 5.05275462677114E-02 
513	 5.20673420236237E-02 
514	 5.36585724903181E-02 
515	 5.53359763685915E-02 
516	 5.71520085264173E-02 
517	 5.91251293443712E-02 
518	 6.11517273702288E-02 
519	 6.31038981281603E-02 
520	 6.50070301405409E-02 
521	 6.69480638143211E-02 
522	 6.89543954602528E-02 
523	 7.09753902436502E-02 
524	 7.29850404645252E-02 
525	 7.49579982010271E-02 
526	 7.68743186147071E-02 
527	 7.87232996321488E-02 
528	 8.04918677882387E-02 
529	 8.21261607236834E-02 
530	 8.35932238636496E-02 
531	 8.50120161792362E-02 
532	 8.63640159094518E-02 
533	 8.76066626761062E-02 
534	 8.87531974112407E-02 
535	 8.97981308193828E-02 
536	 9.07209089790069E-02 
537	 9.15015986650793E-02 
538	 9.22471148914355E-02 
539	 9.29989542436547E-02 
540	 9.37400100486493E-02 
541	 0.094347099608783 
542	 9.49637210215559E-02 
543	 9.55604947399697E-02 
544	 9.60575064152984E-02 
545	 9.65412466539628E-02 
546	 9.70040412001585E-02 
547	 9.74360532446167E-02 
548	 9.78338778153558E-02 
549	 0.09819361758189 
550	 9.84958461477452E-02 
551	 9.87210246444114E-02 
552	 9.88785221830369E-02 
553	 9.89216699093489E-02 
554	 9.88311788552405E-02 
555	 9.86225778677687E-02 
556	 9.83450700822888E-02 
557	 9.79781605314418E-02 
558	 9.74945682688695E-02 
559	 9.69145566751522E-02 
560	 9.62361404841618E-02 
561	 9.55018393558336E-02 
562	 9.47795954801887E-02 
563	 9.39189342350299E-02 
564	 9.29485334492998E-02 
565	 9.19205696937609E-02 
566	 9.08251066072228E-02 
567	 8.97230809778264E-02 
568	 0.088607346290837 
569	 8.74264832078487E-02 
570	 0.08628143757111 
571	 8.51471580633975E-02 
572	 8.40116328872754E-02 
573	 8.29175615886679E-02 
574	 8.18907698952484E-02 
575	 8.09338498667899E-02 
576	 8.00509472725002E-02 
577	 7.92406154793386E-02 
578	 7.84695403596661E-02 
579	 7.77427369073364E-02 
580	 7.71235533235091E-02 
581	 7.65069591125825E-02 
582	 7.59110925867761E-02 
583	 7.53786333704866E-02 
584	 7.48441865611307E-02 
585	 7.43444354303013E-02 
586	 7.39122081083246E-02 
587	 7.35617343208687E-02 
588	 7.31969977055032E-02 
589	 7.28181578164342E-02 
590	 7.24615375461389E-02 
591	 7.21026403032896E-02 
592	 7.18242651671553E-02 
593	 7.16186002560944E-02 
594	 7.14281949758301E-02 
595	 7.12200715976596E-02 
596	 7.10130411793833E-02 
597	 7.08195493949765E-02 
598	 7.06112963825137E-02 
599	 0.070428772467636 
600	 7.02437678471999E-02 
601	 7.00024439833963E-02 
602	 6.97079130078923E-02 
603	 6.93571762806549E-02 
604	 0.068965295599233 
605	 6.85737945331685E-02 
606	 6.80946320548192E-02 
607	 6.75830244154762E-02 
608	 0.067100948981688 
609	 6.65455167075229E-02 
610	 6.59567307681657E-02 
611	 6.53631397891639E-02 
612	 0.064765574207819 
613	 0.064129642205828 
614	 6.35156916890985E-02 
615	 6.29729683463111E-02 
616	 6.24669178570281E-02 
617	 6.19844787012321E-02 
618	 6.15427814421165E-02 
619	 6.11549947610029E-02 
620	 6.07860591249467E-02 
621	 6.04711621069673E-02 
622	 6.02227131273496E-02 
623	 5.99976990947465E-02 
624	 5.98478155611344E-02 
625	 5.97509043668932E-02 
626	 5.96644399511228E-02 
627	 5.96057904857813E-02 
628	 5.95563421417112E-02 
629	 5.95185570492021E-02 
630	 0.059518286753248 
631	 5.94997414997702E-02 
632	 5.94274251531166E-02 
633	 5.92919403562376E-02 
634	 5.91472196397946E-02 
635	 5.89707597935233E-02 
636	 5.87034795230019E-02 
637	 5.82822970604726E-02 
638	 5.78518966849486E-02 
639	 5.74114160734283E-02 
640	 5.69285544696104E-02 
641	 5.63545727918641E-02 
642	 0.055761415316639 
643	 5.51611994840916E-02 
644	 5.45441573810955E-02 
645	 5.39475651077531E-02 
646	 5.33373128926168E-02 
647	 5.27421277679477E-02 
648	 5.22586053115721E-02 
649	 5.18182453511692E-02 
650	 5.13994147503786E-02 
651	 5.09958793626517E-02 
652	 0.05062658592989 
653	 5.02477139319508E-02 
654	 4.98524204093848E-02 
655	 4.94405546953561E-02 
656	 4.90529661015736E-02 
657	 4.85448374707312E-02 
658	 4.79044619917611E-02 
659	 4.72967325721354E-02 
660	 0.046684877635939 
661	 4.60708864738029E-02 
662	 4.54586840566367E-02 
663	 0.044900075239012 
664	 4.43643653031239E-02 
665	 4.38642724941139E-02 
666	 4.34413047399045E-02 
667	 4.30936268585351E-02 
668	 4.27686635457068E-02 
669	 4.24656072741367E-02 
670	 4.23750739941048E-02 
671	 4.22753228113218E-02 
672	 0.042144812466032 
673	 4.20702072846385E-02 
674	 4.20946819997502E-02 
675	 4.21664436720351E-02 
676	 4.22558236614628E-02 
677	 4.23823004856205E-02 
678	 4.25682740860577E-02 
679	 4.28710397517746E-02 
680	 4.33096837625857E-02 
681	 4.37200277577225E-02 
682	 4.42629080955328E-02 
683	 4.49857766897564E-02 
684	 4.58519747692494E-02 
685	 4.70264455270394E-02 
686	 4.86180213765553E-02 
687	 5.06230154878481E-02 
688	 5.24669740662495E-02 
689	 5.45148835774289E-02 
