Wavelength	09/27/123 at 12:19:10
350	 9.71592521138031E-02 
351	 0.096535115893558 
352	 9.65536263447488E-02 
353	 9.63734291866605E-02 
354	 9.50355974581664E-02 
355	 9.44353543996549E-02 
356	 9.35172054555522E-02 
357	 9.18092723403135E-02 
358	 9.07234023797649E-02 
359	 8.92795289589565E-02 
360	 0.087409427074865 
361	 8.54644366336451E-02 
362	 8.37308283445182E-02 
363	 8.22077211555676E-02 
364	 0.080773702018318 
365	 7.91084752510124E-02 
366	 7.77535708895573E-02 
367	 7.65101832974439E-02 
368	 7.48972637935285E-02 
369	 7.34886213400566E-02 
370	 7.18853493445039E-02 
371	 6.98707369996067E-02 
372	 6.78676699255583E-02 
373	 6.59527100522426E-02 
374	 6.40555112705485E-02 
375	 6.20253305926133E-02 
376	 6.01025725062334E-02 
377	 5.85167040119557E-02 
378	 5.72551689736468E-02 
379	 5.57777142757831E-02 
380	 5.43855036980287E-02 
381	 5.30253414122048E-02 
382	 5.14984104875796E-02 
383	 4.98930706851768E-02 
384	 4.81824981155575E-02 
385	 4.63945546854874E-02 
386	 0.04463948231845 
387	 4.31309453620094E-02 
388	 4.18637504187942E-02 
389	 4.06974136801083E-02 
390	 3.95051313687543E-02 
391	 3.84498612036048E-02 
392	 3.75167146669451E-02 
393	 3.62911819565208E-02 
394	 3.49432950754684E-02 
395	 3.35605961647411E-02 
396	 3.22357277293747E-02 
397	 3.11646150601215E-02 
398	 3.02737469005428E-02 
399	 2.95146840230517E-02 
400	 0.028930831817171 
401	 2.85093627606316E-02 
402	 2.81453768755246E-02 
403	 2.77147692082519E-02 
404	 2.72507635393679E-02 
405	 2.67707889176676E-02 
406	 2.63006600060639E-02 
407	 2.58799324810133E-02 
408	 2.54733294563221E-02 
409	 2.50355159434192E-02 
410	 2.45354682906762E-02 
411	 2.40774034873682E-02 
412	 2.35996915582279E-02 
413	 2.31106133099222E-02 
414	 2.27703216667065E-02 
415	 2.24299190038564E-02 
416	 0.021998012649487 
417	 2.14337034373913E-02 
418	 2.08846828468764E-02 
419	 2.04030744457643E-02 
420	 2.00189837294531E-02 
421	 1.97586850055227E-02 
422	 1.95183647635086E-02 
423	 1.92679247946949E-02 
424	 1.90352139692465E-02 
425	 1.90170333333992E-02 
426	 1.90293045493538E-02 
427	 1.89768350403742E-02 
428	 1.89446425094723E-02 
429	 1.89545789534188E-02 
430	 1.89242699187609E-02 
431	 1.87788038038993E-02 
432	 1.86955419906469E-02 
433	 0.018692065959019 
434	 0.018708613570046 
435	 1.85927338519961E-02 
436	 1.86192482228388E-02 
437	 1.86484716407858E-02 
438	 1.84870235900625E-02 
439	 1.83973737913563E-02 
440	 1.82378680220159E-02 
441	 1.79731976769518E-02 
442	 1.77314291697105E-02 
443	 1.75419556949612E-02 
444	 1.73678113641607E-02 
445	 1.71686627821605E-02 
446	 1.70194970741333E-02 
447	 1.68730807545921E-02 
448	 1.67413604810512E-02 
449	 1.67166151434917E-02 
450	 1.67375766152295E-02 
