Wavelength	09/27/123 at 12:23:38
350	 2.61071144039695E-02 
351	 2.56887608298421E-02 
352	 2.57674033357727E-02 
353	 2.61144321178222E-02 
354	 2.61173495374179E-02 
355	 2.63620754978694E-02 
356	 2.65749727499273E-02 
357	 2.66173995982562E-02 
358	 2.68095652312959E-02 
359	 2.69771898793917E-02 
360	 2.70548070390513E-02 
361	 2.70557408666292E-02 
362	 2.73175733278161E-02 
363	 2.75192050158768E-02 
364	 2.75117355597329E-02 
365	 2.76470694780099E-02 
366	 2.76491585995705E-02 
367	 2.76167064616341E-02 
368	 2.77992570991715E-02 
369	 2.81399915595544E-02 
370	 2.84181297576321E-02 
371	 2.85102064619098E-02 
372	 2.85100115226068E-02 
373	 2.86418442526647E-02 
374	 2.88445286881977E-02 
375	 2.89344495523313E-02 
376	 2.92516740048985E-02 
377	 2.95729297905011E-02 
378	 2.97515391789148E-02 
379	 2.99706783249996E-02 
380	 3.00606624762193E-02 
381	 3.00874048612962E-02 
382	 3.02384173635937E-02 
383	 3.06531694613744E-02 
384	 3.11024115055275E-02 
385	 3.13626388797776E-02 
386	 3.12878748423744E-02 
387	 3.15185077774639E-02 
388	 3.19205367140443E-02 
389	 3.20562321377845E-02 
390	 3.21687581504598E-02 
391	 3.24592672379813E-02 
392	 3.29148631398039E-02 
393	 3.31404891558477E-02 
394	 3.34236861173123E-02 
395	 3.37408884662122E-02 
396	 3.39782968037901E-02 
397	 3.42650191681379E-02 
398	 3.46050864202999E-02 
399	 3.49611651042141E-02 
400	 3.52775005748331E-02 
401	 3.53600554025172E-02 
402	 3.54226465528504E-02 
403	 3.57629538629522E-02 
404	 3.60311415124701E-02 
405	 3.62761472928302E-02 
406	 3.65825687552967E-02 
407	 0.037062828627354 
408	 3.73700387596888E-02 
409	 3.75772657478456E-02 
410	 3.79042290044945E-02 
411	 3.83282109043723E-02 
412	 3.87189269931416E-02 
413	 3.90261606819304E-02 
414	 3.93369656777803E-02 
415	 3.96878601161801E-02 
416	 4.00353559631784E-02 
417	 4.03090942314319E-02 
418	 4.05087101482252E-02 
419	 4.07474830711783E-02 
420	 4.10799059142407E-02 
421	 4.14683902671351E-02 
422	 4.17869742903182E-02 
423	 4.20745091782319E-02 
424	 4.24119065493764E-02 
425	 4.26978663194911E-02 
426	 4.29648779610093E-02 
427	 4.32418102458162E-02 
428	 4.35368946134632E-02 
429	 4.38376392157384E-02 
430	 4.41201631598069E-02 
431	 4.43707128080057E-02 
432	 4.46508265413922E-02 
433	 4.49333064956414E-02 
434	 4.51917341902239E-02 
435	 4.54043317220232E-02 
436	 4.57040961590781E-02 
437	 4.60138304950751E-02 
438	 4.62265716677775E-02 
439	 0.046454028735722 
440	 4.67381620953141E-02 
441	 4.70510266324081E-02 
442	 4.72785208108893E-02 
443	 0.047544437216219 
444	 4.78153176924647E-02 
445	 4.80430195507031E-02 
446	 4.83407812770194E-02 
447	 0.048656850617398 
448	 4.89575414923714E-02 
449	 4.92473049037538E-02 
450	 4.95194122811523E-02 
451	 0.049768712835016 
452	 4.99996187122202E-02 
453	 5.02557702928267E-02 
454	 5.05542365378693E-02 
455	 5.08635776928139E-02 
456	 0.051099561227949 
457	 5.13837208426225E-02 
458	 5.16855079505726E-02 
459	 5.19515795217003E-02 
460	 5.22150500219694E-02 
461	 5.24566530063945E-02 
462	 5.26841331399834E-02 
463	 5.29300008706209E-02 
464	 5.31836683353002E-02 
465	 5.34607604914037E-02 
466	 5.37599849682234E-02 
467	 5.39981786020849E-02 
468	 5.42281967510345E-02 
469	 5.44894955129849E-02 
470	 5.48037909142922E-02 
471	 5.51075959581669E-02 
472	 5.53778123149542E-02 
473	 5.56138113698375E-02 
474	 5.58474421084664E-02 
475	 0.0561326104774 
476	 5.64232606675408E-02 
477	 0.05660525355448 
478	 5.68800921810078E-02 
479	 5.71894938467763E-02 
480	 5.74560719814608E-02 
481	 5.76884692102188E-02 
482	 5.79415358705981E-02 
483	 0.058240572322695 
484	 5.85794126249961E-02 
485	 5.88456906670022E-02 
486	 5.91414518370875E-02 
487	 5.95199672399052E-02 
488	 5.98107762468356E-02 
489	 6.01094943037306E-02 
490	 6.04174188443566E-02 
491	 6.06911804467895E-02 
492	 6.09573456860908E-02 
493	 6.12479078989554E-02 
494	 6.15775494972964E-02 
495	 6.19261235488685E-02 
496	 6.22241826173372E-02 
497	 6.25125721964235E-02 
498	 6.28785703580775E-02 
499	 6.33103116807461E-02 
500	 6.36895233387527E-02 
501	 6.39964561472772E-02 
502	 6.44164051399403E-02 
503	 6.47868879759616E-02 
504	 6.51325781103476E-02 
505	 6.55427761907508E-02 
506	 0.066037742360421 
507	 6.65271438333834E-02 
508	 6.69614315499172E-02 
509	 6.73578087730259E-02 
510	 6.78147741794486E-02 
511	 6.83520268343295E-02 
512	 6.89420648909403E-02 
513	 6.94811613785782E-02 
514	 7.00462391114193E-02 
515	 7.06459451826629E-02 
516	 7.11864395112528E-02 
517	 0.071805155896872 
518	 7.25086985305349E-02 
519	 7.32282357371747E-02 
520	 7.38091020049218E-02 
521	 7.44093076687717E-02 
522	 7.50839656304094E-02 
523	 7.57823012488198E-02 
524	 7.64639336648483E-02 
525	 7.70864212584878E-02 
526	 7.76504796224115E-02 
527	 7.82826084811638E-02 
528	 7.89249872105507E-02 
529	 7.95292464591397E-02 
530	 8.00741190882973E-02 
531	 8.06009528615922E-02 
532	 8.11278400142591E-02 
533	 8.16437104751921E-02 
534	 8.20786898856287E-02 
535	 8.25621551339449E-02 
536	 8.30611814142432E-02 
537	 8.34605879161996E-02 
538	 8.38514114865264E-02 
539	 8.42626937187566E-02 
540	 8.46901433535406E-02 
541	 8.50771086048304E-02 
542	 8.54604525155728E-02 
543	 8.58421604831241E-02 
544	 8.62107465272006E-02 
545	 8.65441630605256E-02 
546	 8.68888056249924E-02 
547	 8.72530326064434E-02 
548	 8.75677653166051E-02 
549	 8.79034237234634E-02 
550	 8.82518578145325E-02 
551	 8.85809543757327E-02 
552	 8.88773556713297E-02 
553	 8.91380280152691E-02 
554	 8.93709200614254E-02 
555	 8.95976147878448E-02 
556	 8.98085888616557E-02 
557	 9.00019065276648E-02 
558	 9.01781138558675E-02 
559	 9.03478044156862E-02 
560	 9.04613621694908E-02 
561	 9.05582061918315E-02 
562	 9.07530365892696E-02 
563	 9.08463149504085E-02 
564	 9.08775640224723E-02 
565	 9.09202345448076E-02 
566	 0.090982292349886 
567	 9.10599954229361E-02 
568	 9.11135561791673E-02 
569	 9.10910380162453E-02 
570	 9.11234135452887E-02 
571	 9.11471751158158E-02 
572	 9.11237948673891E-02 
573	 0.091141066074447 
574	 9.11881106394952E-02 
575	 9.12344732709425E-02 
576	 9.12541905724014E-02 
577	 9.13658632987871E-02 
578	 0.091491032548621 
579	 9.15912519070025E-02 
580	 9.17199438998976E-02 
581	 9.18342256933839E-02 
582	 9.19632005111209E-02 
583	 9.21318786390862E-02 
584	 9.22357122335143E-02 
585	 9.23451660483188E-02 
586	 9.25031509729077E-02 
587	 9.27162772995164E-02 
588	 9.28917515209458E-02 
589	 9.30607553591192E-02 
590	 9.32505180354114E-02 
591	 0.09339680629107 
592	 0.093556719880846 
593	 9.37541597029036E-02 
