Wavelength	09/27/123 at 12:23:31
350	 2.86325410732283E-02 
351	 2.86063710702804E-02 
352	 2.89251103324512E-02 
353	 2.91441636592288E-02 
354	 2.87633967203847E-02 
355	 2.89991913948784E-02 
356	 2.91015206069252E-02 
357	 2.87557148424328E-02 
358	 2.89395027057943E-02 
359	 2.93992776493433E-02 
360	 2.96954409555863E-02 
361	 2.94263323549577E-02 
362	 2.96830051178452E-02 
363	 3.00652046988378E-02 
364	 3.02142823743149E-02 
365	 3.01750129237375E-02 
366	 3.01805537007761E-02 
367	 3.02175139476799E-02 
368	 3.01960918384935E-02 
369	 3.05803883488512E-02 
370	 3.08467374798927E-02 
371	 3.07287050923115E-02 
372	 3.07401015660283E-02 
373	 3.10686928791982E-02 
374	 3.14941890709936E-02 
375	 3.15983158299532E-02 
376	 3.16556953958683E-02 
377	 3.18932475320957E-02 
378	 3.22910368272189E-02 
379	 3.22757746150804E-02 
380	 3.22985958563596E-02 
381	 3.24430403963996E-02 
382	 3.26339522615864E-02 
383	 3.29676604586832E-02 
384	 3.34337516208665E-02 
385	 3.39031330583901E-02 
386	 3.40313182186542E-02 
387	 3.40780781684675E-02 
388	 3.42145051607412E-02 
389	 3.45286747798119E-02 
390	 3.47206349074495E-02 
391	 3.49965768600477E-02 
392	 3.54283718073666E-02 
393	 3.57515423853614E-02 
394	 3.60835292048018E-02 
395	 3.63542572365905E-02 
396	 3.64924545731839E-02 
397	 3.69512855406196E-02 
398	 3.74233806272747E-02 
399	 3.77067779277931E-02 
400	 3.78711608048325E-02 
401	 3.79695650493538E-02 
402	 3.80980761798582E-02 
403	 3.83464490016108E-02 
404	 3.86364662603712E-02 
405	 3.89723309561098E-02 
406	 3.93454576411946E-02 
407	 3.97232286073859E-02 
408	 0.039992811455825 
409	 4.02609856538719E-02 
410	 4.06874901505784E-02 
411	 4.11307995017163E-02 
412	 0.041492956756452 
413	 4.17708872711937E-02 
414	 4.20936502766806E-02 
415	 4.25312336837428E-02 
416	 4.29509888869177E-02 
417	 4.31747453055286E-02 
418	 4.33205421872905E-02 
419	 4.35508715339129E-02 
420	 4.39198424814575E-02 
421	 0.04432810669487 
422	 4.46132576358302E-02 
423	 4.48368392416943E-02 
424	 4.51360247002295E-02 
425	 0.045507410054114 
426	 4.57992390469575E-02 
427	 4.59881460643074E-02 
428	 0.046263181074554 
429	 4.65595690935545E-02 
430	 0.046870070102521 
431	 0.04718994759329 
432	 4.74473163495349E-02 
433	 4.76787370586544E-02 
434	 0.047898792203008 
435	 4.80789800698333E-02 
436	 0.048325086088138 
437	 4.85873898327792E-02 
438	 4.87986116006485E-02 
439	 4.90883884963943E-02 
440	 4.93764880061306E-02 
441	 4.96133685663702E-02 
442	 4.98010238500604E-02 
443	 5.00135590148015E-02 
444	 5.02391759342828E-02 
445	 5.04596598004763E-02 
446	 0.050768176260198 
447	 5.10812857125539E-02 
