Wavelength	09/27/123 at 12:16:35
350	 8.32794705832524E-03 
351	 8.1870387660983E-03 
352	 8.31079567692557E-03 
353	 8.36178321373579E-03 
354	 7.95750172970906E-03 
355	 8.34001262607581E-03 
356	 8.77848863189352E-03 
357	 8.75939582337388E-03 
358	 8.59012722143452E-03 
359	 8.50872366692215E-03 
360	 8.48203131040002E-03 
361	 8.36939247779336E-03 
362	 8.39080099291695E-03 
363	 8.47978933378261E-03 
364	 8.57174496405321E-03 
365	 8.70669676448171E-03 
366	 8.56619348404582E-03 
367	 8.33261195702766E-03 
368	 8.3895857990524E-03 
369	 8.49624004419275E-03 
370	 8.61438733312644E-03 
371	 8.70761141775412E-03 
372	 8.67056560537751E-03 
373	 8.68590731975583E-03 
374	 8.68066102200083E-03 
375	 8.49829217343062E-03 
376	 8.58164152760772E-03 
377	 8.70276833545513E-03 
378	 8.69605277519716E-03 
379	 8.72728975690642E-03 
380	 8.74113953861569E-03 
381	 8.8246517502657E-03 
382	 9.09347076337626E-03 
383	 9.2448901131354E-03 
384	 9.30986907359368E-03 
385	 9.30360082852003E-03 
386	 9.05059918839497E-03 
387	 9.12516794666662E-03 
388	 9.38057459066448E-03 
389	 9.38445959621282E-03 
390	 9.32825162891812E-03 
391	 9.3805964066934E-03 
392	 9.57166087177163E-03 
393	 9.71981410547041E-03 
394	 9.65435130548455E-03 
395	 9.45677511930939E-03 
396	 9.31909686297525E-03 
397	 9.30933882757369E-03 
398	 9.50965803871575E-03 
399	 9.80217229876741E-03 
400	 9.73053182095226E-03 
401	 9.69112228518833E-03 
402	 9.69262412683021E-03 
403	 9.63839214682223E-03 
404	 9.69985879746171E-03 
405	 9.79502426624828E-03 
406	 9.87972778009021E-03 
407	 1.00266929065788E-02 
408	 1.01500555575481E-02 
409	 1.01940531721065E-02 
410	 1.01475091850921E-02 
411	 1.02094505552813E-02 
412	 1.03209476766213E-02 
413	 1.04444801944057E-02 
414	 0.010627886243309 
415	 1.07956153299084E-02 
416	 0.010879853987162 
417	 1.08485276206958E-02 
418	 1.08747598079919E-02 
419	 1.09537563067146E-02 
420	 1.10610121183123E-02 
421	 1.11725488089349E-02 
422	 1.12679945983999E-02 
423	 1.13958363390528E-02 
424	 1.15990631682541E-02 
425	 1.17061864060708E-02 
426	 1.17673094983822E-02 
427	 1.18389162430622E-02 
428	 1.19605144115958E-02 
429	 1.20810140127674E-02 
430	 1.21303778056096E-02 
431	 1.20816796166097E-02 
432	 1.21781357161292E-02 
433	 1.22885294069344E-02 
434	 1.23463121376596E-02 
435	 1.24009595127304E-02 
436	 1.25131964878838E-02 
437	 1.26325652548182E-02 
438	 1.26982982738922E-02 
439	 1.28131381602064E-02 
440	 1.29015343588159E-02 
441	 1.29231158011939E-02 
442	 1.28883838475909E-02 
443	 1.29751329541238E-02 
444	 1.31358377625896E-02 
445	 1.32642355492036E-02 
446	 1.33435593191397E-02 
447	 1.34400856547624E-02 
448	 1.35552256426755E-02 
449	 1.36054199709459E-02 
450	 0.013696312273297 
451	 1.37800588509933E-02 
452	 1.37952266979225E-02 
453	 1.38396621140859E-02 
454	 1.38893386747099E-02 
455	 0.013936266106719 
456	 1.39972882022655E-02 
457	 1.41284828632636E-02 
458	 1.42541939766676E-02 
459	 1.42918197616057E-02 
460	 1.42872728358993E-02 
461	 1.43032399804829E-02 
462	 0.014345039687091 
463	 1.43563259037905E-02 
464	 1.43972476539518E-02 
465	 0.014480018213203 
466	 1.45834202778672E-02 
467	 1.46142216298278E-02 
468	 1.46157230855459E-02 
469	 1.46172473661153E-02 
470	 1.46344850595793E-02 
471	 1.47594106156685E-02 
472	 1.49059982122718E-02 
473	 1.49722876371255E-02 
474	 1.49292069954518E-02 
475	 1.49585053966354E-02 
476	 1.50444818220575E-02 
477	 1.50237089013937E-02 
478	 1.50796258299645E-02 
479	 1.51428351303384E-02 
480	 1.51539705454895E-02 
481	 1.52269237634973E-02 
482	 1.53063287100865E-02 
483	 1.53667706149234E-02 
484	 0.015404627788625 
485	 0.015435537173383 
486	 0.015513513109605 
487	 1.56539853914852E-02 
488	 1.57691490516527E-02 
489	 1.58308394557977E-02 
490	 1.58739272909106E-02 
491	 1.59654672603373E-02 
492	 1.60845922555322E-02 
493	 1.62226437980244E-02 
494	 1.63733589200892E-02 
495	 1.65334744304964E-02 
496	 1.67028232312632E-02 
497	 0.016863521721098 
498	 1.70084780135347E-02 
499	 1.72955564449901E-02 
500	 1.76173310402019E-02 
501	 1.79099487678373E-02 
502	 1.82495746644269E-02 
503	 1.85710185933959E-02 
504	 1.88960356452756E-02 
505	 1.92860730443565E-02 
506	 1.98239023377808E-02 
507	 2.03778987880017E-02 
508	 2.08879065319052E-02 
509	 2.14143957450472E-02 
510	 2.20421588397433E-02 
511	 2.27638317439612E-02 
512	 2.35379095394626E-02 
513	 2.43372362385804E-02 
514	 2.51688306825059E-02 
515	 2.60460957983503E-02 
516	 2.69823539765509E-02 
517	 2.79903974138941E-02 
518	 2.90813311561437E-02 
519	 3.02206953042753E-02 
520	 3.12733513342045E-02 
521	 0.032316465680796 
522	 3.34057549684293E-02 
523	 3.45574016406851E-02 
524	 0.035690730396667 
525	 3.67468371260781E-02 
526	 3.77214141440054E-02 
527	 0.038765551968066 
528	 3.97525456253775E-02 
529	 4.06284190712937E-02 
530	 4.14229429839599E-02 
531	 0.042211143621067 
532	 4.29849485568786E-02 
533	 4.37065160039664E-02 
534	 4.43288492985248E-02 
535	 4.49163070040565E-02 
536	 4.54626075149836E-02 
537	 4.59238587528524E-02 
538	 4.63175304960791E-02 
539	 4.67472859977255E-02 
540	 4.72296565977521E-02 
