Wavelength	09/27/123 at 12:16:28
350	 9.16378476276696E-03 
351	 8.90241691305519E-03 
352	 8.82085630192101E-03 
353	 8.68320233958333E-03 
354	 8.20812702024932E-03 
355	 8.78989360165168E-03 
356	 9.37180813560286E-03 
357	 9.29930227037922E-03 
358	 9.17710668409906E-03 
359	 9.32686303349607E-03 
360	 9.45813079743281E-03 
361	 9.09656746301216E-03 
362	 9.07806919022776E-03 
363	 9.23226276810643E-03 
364	 9.28943577896805E-03 
365	 8.93288289211849E-03 
366	 9.08151705687672E-03 
367	 9.44287002063307E-03 
368	 9.26856191808083E-03 
369	 9.52578871087586E-03 
370	 9.61362084851979E-03 
371	 9.23233421281479E-03 
372	 9.1309491213584E-03 
373	 9.26604995871791E-03 
374	 9.49978347469944E-03 
375	 9.61429188413891E-03 
376	 9.5401938547179E-03 
377	 9.60435975721264E-03 
378	 9.88254206356899E-03 
379	 9.76711517032513E-03 
380	 9.66387416526396E-03 
381	 9.6772590941909E-03 
382	 9.75797885022228E-03 
383	 9.70560236741091E-03 
384	 9.74006991638242E-03 
385	 9.93277822368332E-03 
386	 9.91157424968172E-03 
387	 9.91146234993704E-03 
388	 9.98240924990822E-03 
389	 1.00972827962347E-02 
390	 1.02890679350932E-02 
391	 1.03967413848959E-02 
392	 1.03654992600942E-02 
393	 1.03663319480652E-02 
394	 1.02827504448464E-02 
395	 1.02084360958586E-02 
396	 1.02911676636359E-02 
397	 1.04563375425039E-02 
398	 1.06306532325225E-02 
399	 1.07473967327667E-02 
400	 1.07314817223145E-02 
401	 1.07122156519929E-02 
402	 0.010686286878846 
403	 0.010625228650886 
404	 1.07019763739892E-02 
405	 1.07675734245793E-02 
406	 1.07820485362925E-02 
407	 1.09723759477232E-02 
408	 1.10437362804385E-02 
409	 1.10465439642957E-02 
410	 1.11511426216043E-02 
411	 1.13754786479457E-02 
412	 1.15310912165741E-02 
413	 1.15532680143631E-02 
414	 1.15944772567637E-02 
415	 1.17193346539959E-02 
416	 1.18734242882069E-02 
417	 0.011958380148531 
418	 1.19589195965656E-02 
419	 1.20099626498929E-02 
420	 1.21698160051442E-02 
421	 1.23704547096948E-02 
422	 1.24852724066517E-02 
423	 1.25505850941618E-02 
424	 1.26634698565408E-02 
425	 1.28574356889225E-02 
426	 1.29684680060221E-02 
427	 1.29702080415857E-02 
428	 1.30645931292109E-02 
429	 1.32530086387711E-02 
430	 1.34158786784334E-02 
431	 1.34332716261196E-02 
432	 1.34735128780545E-02 
433	 1.35316579005674E-02 
434	 1.35953920958598E-02 
435	 0.013657200522668 
436	 0.013804403981145 
437	 1.39638817634896E-02 
438	 1.40420016529719E-02 
439	 1.41256691942442E-02 
440	 1.42365634414592E-02 
441	 1.43349518495553E-02 
442	 1.43004044025875E-02 
443	 1.43770506281819E-02 
444	 1.45163075180802E-02 
445	 1.46082734902388E-02 
446	 1.47121460553844E-02 
447	 0.014815786742761 
448	 1.49220760021445E-02 
449	 1.50598462909915E-02 
450	 1.51279031836295E-02 
451	 1.51575795116901E-02 
452	 1.52129434399829E-02 
453	 1.53126742402381E-02 
454	 1.53854664065189E-02 
455	 1.54144159414902E-02 
456	 1.54509738052811E-02 
457	 1.55579905596239E-02 
458	 1.56825852510673E-02 
459	 1.57504613469892E-02 
460	 1.57458714187997E-02 
461	 0.015752353816863 
462	 0.015803180765812 
463	 1.58729839496578E-02 
464	 1.59358496498812E-02 
465	 1.59917369477164E-02 
466	 1.60475895587872E-02 
467	 1.61076368492177E-02 
468	 1.61467096888946E-02 
469	 1.61846439542859E-02 
470	 1.62788457085404E-02 
471	 1.63109341667425E-02 
472	 1.63318047277988E-02 
473	 1.63946456198878E-02 
474	 1.64277582033565E-02 
475	 1.64938106262749E-02 
476	 1.65694435453219E-02 
477	 1.65696139104593E-02 
478	 1.65981862600052E-02 
479	 1.66428938220131E-02 
480	 1.66855740399889E-02 
481	 1.67585310178902E-02 
482	 1.68453871354947E-02 
483	 1.69277399242978E-02 
484	 1.69858411151451E-02 
485	 1.70167592013766E-02 
486	 1.70950762926736E-02 
487	 1.72376226356627E-02 
488	 1.72737309382786E-02 
489	 1.73536738661853E-02 
490	 1.74917215040957E-02 
491	 1.76256149285504E-02 
492	 1.76924531363027E-02 
493	 1.77795207531562E-02 
494	 1.79410316608755E-02 
495	 1.81159997862559E-02 
496	 1.83174848585639E-02 
497	 1.85217189535516E-02 
498	 1.87110941964791E-02 
499	 1.90641740613689E-02 
500	 1.94492138680909E-02 
501	 1.97780357074533E-02 
502	 2.01040500785341E-02 
503	 2.04498609891759E-02 
504	 2.08605766989267E-02 
505	 2.13724204817763E-02 
506	 2.19222026818558E-02 
507	 2.24763843537899E-02 
508	 2.30446459470208E-02 
509	 2.36935902755599E-02 
510	 0.024369665211442 
511	 2.51087802146075E-02 
512	 0.025957936975302 
513	 2.68501534373408E-02 
