Wavelength	09/27/123 at 12:21:43
350	 9.09331014587715E-02 
351	 9.13074408254502E-02 
352	 9.20619028530083E-02 
353	 9.26174005343092E-02 
354	 9.24441569216029E-02 
355	 9.28131938072986E-02 
356	 9.32591644693061E-02 
357	 9.34378098904678E-02 
358	 9.36706941622859E-02 
359	 9.36837490834885E-02 
360	 9.37938355526633E-02 
361	 9.44726706268184E-02 
362	 9.50347493141842E-02 
363	 9.53987122104084E-02 
364	 9.56659768687468E-02 
365	 9.61560948552148E-02 
366	 9.65126668821056E-02 
367	 9.66683613813644E-02 
368	 9.67461309491776E-02 
369	 0.09737636366227 
370	 9.79846273011357E-02 
371	 9.82648186536718E-02 
372	 9.88296320912627E-02 
373	 9.94352738165332E-02 
374	 9.99503440748204E-02 
375	 0.100302359147788 
376	 0.100670066721307 
377	 0.10132702742949 
378	 0.102237191832922 
379	 0.102619202175211 
380	 0.103087105188324 
381	 0.103723220745754 
382	 0.104364727182983 
383	 0.105001572834743 
384	 0.105772053857998 
385	 0.1066006815516 
386	 0.106917221519251 
387	 0.107260154956921 
388	 0.10779078888437 
389	 0.108486262650463 
390	 0.109290765646855 
391	 0.110039835016918 
392	 0.110623861081752 
393	 0.110994803174199 
394	 0.11166687661642 
395	 0.11234749159129 
396	 0.112545004177152 
397	 0.112919647971596 
398	 0.113268824149933 
399	 0.113560748260696 
400	 0.114226169413798 
401	 0.114811956625735 
402	 0.115228544026588 
403	 0.115539077912938 
404	 0.115901289231175 
405	 0.116354225869786 
406	 0.116854534352688 
407	 0.117233045271443 
408	 0.117626030889328 
409	 0.118106194621016 
410	 0.118693097344736 
411	 0.119201519187848 
412	 0.119576081516433 
413	 0.119871891732753 
414	 0.120278711539122 
415	 0.120917762418675 
416	 0.121572063618567 
417	 0.121940968597516 
418	 0.122177288332233 
419	 0.122566307227639 
420	 0.123182936232153 
421	 0.12377907223093 
422	 0.124250273377044 
423	 0.124691802145169 
424	 0.125250117789545 
425	 0.125793432760853 
426	 0.126372439728492 
427	 0.127012016793441 
428	 0.127687762489588 
429	 0.128265500816035 
430	 0.128749377494233 
431	 0.129200256807959 
432	 0.129631854165014 
433	 0.130159415743948 
434	 0.130766771970562 
435	 0.131265560314441 
436	 0.131791837757569 
437	 0.132358320229521 
438	 0.132928912323523 
439	 0.13341662171869 
440	 0.133908427144977 
441	 0.134428026055518 
442	 0.134901952522722 
443	 0.135386159349662 
444	 0.135865304925453 
445	 0.136315656708127 
446	 0.136760044732389 
447	 0.137235514483448 
448	 0.137724465229901 
449	 0.138153563848155 
450	 0.138563939972449 
451	 0.138987075422283 
452	 0.139432332038602 
453	 0.139831547283575 
454	 0.140193847571717 
455	 0.140551738558773 
456	 0.140963505680826 
457	 0.141343320810147 
458	 0.141708947122303 
459	 0.142085926642967 
460	 0.1423876166196 
461	 0.1426950935098 
462	 0.143034246790501 
463	 0.143354142232608 
464	 0.143654158204035 
465	 0.143965401741154 
466	 0.144309498395035 
467	 0.144648103614143 
468	 0.144949438778157 
469	 0.145229448404204 
470	 0.145548384598027 
471	 0.145877410217029 
472	 0.146214223032138 
473	 0.146552633488014 
474	 0.146865445025217 
475	 0.147183209612399 
476	 0.147497930491054 
477	 0.147774398627769 
478	 0.148078361890979 
479	 0.14846892483532 
480	 0.148939960817181 
481	 0.149295152442879 
482	 0.149605240241311 
483	 0.149967614793353 
484	 0.150487607267845 
485	 0.151032204397787 
486	 0.151518478203671 
487	 0.151918893340514 
488	 0.152322052970272 
489	 0.1527631322077 
490	 0.15325668125994 
491	 0.153788936979682 
492	 0.154223135567505 
493	 0.154650799664585 
494	 0.155134925487462 
495	 0.155579006966946 
496	 0.156122329292954 
497	 0.156688722205925 
498	 0.157132132612851 
499	 0.157670059635199 
500	 0.158254567339016 
501	 0.158824096408813 
502	 0.159342346976685 
503	 0.159796019178792 
504	 0.160248589482222 
505	 0.1607811280628 
506	 0.161356942518575 
507	 0.16191525673879 
508	 0.162438291732622 
509	 0.162980400116242 
510	 0.163484748759414 
511	 0.164001696680743 
512	 0.164579646969827 
513	 0.165072571142807 
514	 0.165578818148571 
515	 0.166142260521012 
516	 0.166720633589805 
517	 0.167296551669391 
518	 0.167862767232582 
519	 0.168410205835899 
520	 0.168952927431588 
521	 0.169480714318016 
522	 0.170001101641902 
523	 0.170539592252029 
524	 0.171108458727546 
525	 0.171688554790591 
526	 0.172264408464578 
527	 0.172855306210275 
528	 0.173448267204185 
529	 0.174021423389154 
530	 0.174564427024201 
531	 0.17517351212739 
532	 0.175785503216922 
533	 0.17635886896621 
534	 0.17700079653622 
535	 0.177663455190697 
536	 0.178296416542353 
537	 0.178858797436856 
538	 0.179481900685998 
539	 0.18015817213613 
540	 0.180855061327248 
541	 0.181527863745387 
542	 0.182249501521803 
543	 0.182985544486043 
544	 0.183670636241793 
545	 0.184345912379039 
546	 0.185037911804473 
547	 0.185745377291153 
548	 0.186411189826699 
549	 0.187118616416792 
550	 0.187872543535002 
551	 0.188646081325326 
552	 0.189390540541483 
553	 0.190085433688068 
554	 0.190756815137282 
555	 0.191488887853167 
556	 0.192208769651071 
557	 0.192930806046128 
558	 0.193673439610536 
559	 0.194389903841002 
560	 0.195073874578325 
561	 0.19576961871324 
562	 0.196570525997185 
563	 0.197292980929105 
564	 0.197967458789999 
565	 0.198663116466972 
566	 0.199402570076075 
567	 0.200206063317613 
568	 0.201020279844379 
569	 0.201750611560873 
570	 0.202443251990002 
571	 0.203127334954379 
572	 0.20379461290981 
573	 0.204373652287119 
574	 0.204983947067085 
