WL(nm)	WV2 Coastal Blue	WV2 Blue	WV2 Green	WV2 Yellow	WV2 Red	WV2 RedEdge	WV2 NIR1	WV2 NIR2
1020	0.0000031	0.0000020	0.0000019	0.0000004	0.0000004	0.0000003	0.0000002	0.1787050
1022.5	0.0000037	0.0000021	0.0000019	0.0000005	0.0000004	0.0000003	0.0000005	0.1684410
1025	0.0000037	0.0000022	0.0000017	0.0000004	0.0000003	0.0000002	0.0000003	0.1590320
1027.5	0.0000037	0.0000024	0.0000016	0.0000003	0.0000003	0.0000002	0.0000003	0.1481250
1030	0.0000038	0.0000029	0.0000017	0.0000003	0.0000004	0.0000002	0.0000003	0.1377700
1032.5	0.0000034	0.0000029	0.0000014	0.0000004	0.0000005	0.0000002	0.0000004	0.1245570
1035	0.0000031	0.0000028	0.0000013	0.0000004	0.0000005	0.0000002	0.0000003	0.1096120
1037.5	0.0000027	0.0000025	0.0000013	0.0000004	0.0000006	0.0000002	0.0000003	0.0917406
1040	0.0000025	0.0000021	0.0000012	0.0000003	0.0000006	0.0000002	0.0000002	0.0715068
1042.5	0.0000021	0.0000019	0.0000013	0.0000004	0.0000008	0.0000001	0.0000002	0.0503125
1045	0.0000019	0.0000015	0.0000013	0.0000003	0.0000007	0.0000001	0.0000002	0.0328064
1047.5	0.0000016	0.0000014	0.0000015	0.0000003	0.0000006	0.0000001	0.0000002	0.0198817
1050	0.0000015	0.0000014	0.0000017	0.0000002	0.0000005	0.0000001	0.0000001	0.0097957
1052.5	0.0000015	0.0000018	0.0000019	0.0000002	0.0000003	0.0000002	0.0000002	0.0047076
1055	0.0000015	0.0000022	0.0000023	0.0000002	0.0000003	0.0000002	0.0000002	0.0021849
1057.5	0.0000017	0.0000027	0.0000030	0.0000001	0.0000002	0.0000001	0.0000001	0.0010292
1060	0.0000019	0.0000030	0.0000038	0.0000001	0.0000001	0.0000002	0.0000001	0.0005237
1062.5	0.0000025	0.0000032	0.0000052	0.0000001	0.0000002	0.0000002	0.0000001	0.0002985
1065	0.0000029	0.0000030	0.0000072	0.0000001	0.0000001	0.0000002	0.0000001	0.0002000
1067.5	0.0000034	0.0000027	0.0000097	0.0000001	0.0000001	0.0000002	0.0000001	0.0001460
1070	0.0000041	0.0000025	0.0000132	0.0000001	0.0000002	0.0000002	0.0000001	0.0001143
1072.5	0.0000043	0.0000021	0.0000170	0.0000001	0.0000002	0.0000001	0.0000001	0.0001020
1075	0.0000046	0.0000018	0.0000211	0.0000001	0.0000002	0.0000001	0.0000001	0.0000801
1077.5	0.0000048	0.0000021	0.0000255	0.0000001	0.0000002	0.0000001	0.0000001	0.0000766
1080	0.0000047	0.0000027	0.0000300	0.0000001	0.0000002	0.0000001	0.0000001	0.0000801
1082.5	0.0000050	0.0000038	0.0000351	0.0000002	0.0000002	0.0000001	0.0000001	0.0000645
1085	0.0000050	0.0000047	0.0000407	0.0000002	0.0000002	0.0000001	0.0000001	0.0000701
1087.5	0.0000056	0.0000056	0.0000474	0.0000003	0.0000002	0.0000000	0.0000001	0.0000646
1090	0.0000058	0.0000063	0.0000551	0.0000003	0.0000001	0.0000001	0.0000001	0.0000538
1092.5	0.0000063	0.0000059	0.0000653	0.0000004	0.0000001	0.0000001	0.0000001	0.0000298
1095	0.0000068	0.0000051	0.0000811	0.0000005	0.0000001	0.0000001	0.0000001	0.0000300
1097.5	0.0000078	0.0000043	0.0001055	0.0000005	0.0000001	0.0000003	0.0000000	0.0000277
1100	0.0000081	0.0000033	0.0001401	0.0000006	0.0000001	0.0000005	0.0000001	0.0000007
