Object,Coastal Blue,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
grass,0.02646766233322478,0.03659554364740687,0.08434213380103234,0.05860440960148963,0.04022161210520195,0.25460554425996806,0.46779091630206066,0.5075936269968471
dry_grass,0.04842298515032861,0.06299730711051602,0.0904080961188772,0.09820829027792106,0.11170594877718801,0.16755784862355477,0.21584080473031908,0.2504847261513674
weed,0.014672469100085564,0.02136833566664667,0.05445601346039556,0.03727808441348257,0.02436724056872351,0.1831979127887646,0.34441666220494066,0.3666533007105162
concrete,0.1577771463257408,0.18356558464237366,0.2343441089891359,0.25725370175907447,0.2663195229445078,0.2792039104531413,0.2865139843564229,0.29787471032114016
black_asphalt,0.04731471487820579,0.049641520878081456,0.05397691690222963,0.05726462194219374,0.06002921119237024,0.06184949137194188,0.06410433478088044,0.06706338192361044
soil,0.049358664677777844,0.06086794257419843,0.08796019867540975,0.10522833809313578,0.11655734531101804,0.12973643903295176,0.1406486375829855,0.15370322983095286
rough_soil,0.033548696806502756,0.04303974638309761,0.0708505340650052,0.09230807539755904,0.10658006054642424,0.11713229291076654,0.12599075862117032,0.1330643949069202
